Number of nodes 487 
   132 : -1.5968182e+01 -6.9337773e-02 
   133 : -2.1221474e+01  3.7495680e-01 
   134 : -2.5260862e+01  9.3059523e-01 
   135 : -2.8161138e+01  1.4288768e+00 
   136 : -3.1749948e+01  2.1286566e+00 
   137 : -3.4176681e+01  2.6421262e+00 
   138 : -2.8781552e-01  6.3333223e+00 
   139 : -3.2783161e-01  8.7321109e+00 
   140 : -4.1349576e-02  1.0998693e+01 
   141 :  3.2783689e-01  8.7322808e+00 
   142 :  2.8781224e-01  6.3334982e+00 
   143 :  4.2010522e-01  3.7355559e+00 
   144 :  3.2099473e+00  1.6399515e+00 
   145 :  3.9073133e+00  1.6920818e+00 
   146 :  4.6035074e+00  1.7579948e+00 
   147 :  5.2974772e+00  1.8440966e+00 
   148 :  5.9883798e+00  1.9521385e+00 
   149 :  6.6765564e+00  2.0764420e+00 
   150 :  7.3628020e+00  2.2110292e+00 
   151 :  8.0472077e+00  2.3546631e+00 
   152 :  8.4758723e+00  2.4997766e+00 
   153 :  7.7811173e+00  2.4203143e+00 
   154 :  7.0871336e+00  2.3340662e+00 
   155 :  6.3922493e+00  2.2554922e+00 
   156 :  5.6957871e+00  2.1925046e+00 
   157 :  4.9979560e+00  2.1471057e+00 
   158 :  4.2994299e+00  2.1137837e+00 
   159 :  3.6009199e+00  2.0801044e+00 
   160 :  2.9025930e+00  2.0427947e+00 
   161 : -3.2099473e+00  1.6399515e+00 
   162 : -3.9073133e+00  1.6920818e+00 
   163 : -4.6035074e+00  1.7579948e+00 
   164 : -5.2974772e+00  1.8440966e+00 
   165 : -5.9883798e+00  1.9521385e+00 
   166 : -6.6765564e+00  2.0764420e+00 
   167 : -7.3628020e+00  2.2110292e+00 
   168 : -8.0472077e+00  2.3546631e+00 
   169 : -8.4758723e+00  2.4997766e+00 
   170 : -7.7811173e+00  2.4203143e+00 
   171 : -7.0871336e+00  2.3340662e+00 
   172 : -6.3922493e+00  2.2554922e+00 
   173 : -5.6957871e+00  2.1925046e+00 
   174 : -4.9979560e+00  2.1471057e+00 
   175 : -4.2994299e+00  2.1137837e+00 
   176 : -3.6009199e+00  2.0801044e+00 
   177 : -2.9025930e+00  2.0427947e+00 
   178 : -2.9799987e+00 -1.0417078e-01 
   179 : -2.9799816e+00 -2.4536412e-01 
   180 : -2.9798873e+00 -4.3677051e-01 
   181 : -2.4856971e+00 -2.8765942e+00 
   182 : -1.7804733e+00 -2.9633336e+00 
   183 : -1.0683895e+00 -2.9777579e+00 
   184 : -3.5613149e-01 -2.9799410e+00 
   185 :  3.5613149e-01 -2.9799410e+00 
   186 :  1.0683895e+00 -2.9777579e+00 
   187 :  1.7804733e+00 -2.9633336e+00 
   188 :  2.4856971e+00 -2.8765942e+00 
   189 :  2.9798874e+00 -4.3668603e-01 
   190 :  2.9799816e+00 -2.4527371e-01 
   191 :  2.9799987e+00 -1.0411630e-01 
   192 :  2.9779673e+00  1.1004989e-01 
   193 :  2.9685380e+00  2.6111737e-01 
   194 :  2.9430482e+00  4.6783266e-01 
   195 :  2.8845143e+00  7.4831616e-01 
   196 :  2.7605299e+00  1.1224415e+00 
   197 :  1.7090043e+00  2.4412505e+00 
   198 :  1.1299723e+00  2.7574558e+00 
   199 : -1.1299723e+00  2.7574558e+00 
   200 : -1.7090043e+00  2.4412505e+00 
   201 : -2.7605299e+00  1.1224415e+00 
   202 : -2.8845143e+00  7.4831616e-01 
   203 : -2.9430482e+00  4.6783266e-01 
   204 : -2.9685380e+00  2.6111737e-01 
   205 : -2.9779673e+00  1.1004989e-01 
   206 :  9.9938535e-02 -2.7982159e+00 
   207 :  1.9974971e-01 -2.7928659e+00 
   208 :  2.9930634e-01 -2.7839568e+00 
   209 :  3.9848155e-01 -2.7715000e+00 
   210 :  4.9714895e-01 -2.7555114e+00 
   211 :  5.9518281e-01 -2.7360112e+00 
   212 :  6.9245820e-01 -2.7130244e+00 
   213 :  7.8885116e-01 -2.6865803e+00 
   214 :  8.8423885e-01 -2.6567126e+00 
   215 :  9.7849970e-01 -2.6234592e+00 
   216 :  1.0715136e+00 -2.5868627e+00 
   217 :  1.1631620e+00 -2.5469696e+00 
   218 :  1.2533282e+00 -2.5038308e+00 
   219 :  1.3418972e+00 -2.4575012e+00 
   220 :  1.4287561e+00 -2.4080399e+00 
   221 :  1.5137943e+00 -2.3555099e+00 
   222 :  1.5969034e+00 -2.2999782e+00 
   223 :  1.6779775e+00 -2.2415155e+00 
   224 :  1.7569132e+00 -2.1801963e+00 
   225 :  1.8336101e+00 -2.1160988e+00 
   226 :  1.9079702e+00 -2.0493047e+00 
   227 :  1.9798990e+00 -1.9798990e+00 
   228 :  2.0493047e+00 -1.9079702e+00 
   229 :  2.1160988e+00 -1.8336101e+00 
